Emotion,Comment
sadness,When a class-mate died.
disgust,"When a person saw that I was accused of something I had not done  
and did not do anything to defend me."
joy,"I got my driving licence after they had frightened me with it's  
difficulty."
fear,"When I had to walk over three kms through a field which had wild bulls,  
because my car had broken down."
anger,"When I saw a man hitting a child of 2 years without any consideration,  
simply because the child had been leaning against a window."
disgust,When I had to dissect a live mouse at school.
guilt,"When I saw a program on Ethiopia on T.V, a fews hours earlier I  
had thrown away some clothes and food."
joy,"When I saw that the mark I had obtained in an exam was a good  
one."
fear,"We were in the country and I walked away from the others one  
night.  Suddenly something moved sharply in front of me and I was  
not able to see what it was."
anger,"When I was young, I became very angry as I was not allowed to  
stay up all night for the fair in my town."
sadness,"When summer is over and I have to leave the town where I spend my  
holidays."
shame,"When I inadvertantly entered the ladies room and met some girls  
on my way out."
guilt,"I was entrusted with an object and while using it I handled it  
carelessly and it broke."
joy,"When I learned, after the ecography, that my mother was expecting a  
baby girl.  That was what I wanted."
fear,"One night, walking along a park, I began to think that some  
roughnecks would appear suddenly with knives and things like  
that."
anger,"I had an exam and I had it well prepared.  I did the first part  
very well but did not know the second part."
sadness,When my parents did not let me go on a study tour.
disgust,"One day I was going through the street door of my house, when a  
man asked me for a doctor.  He then showed me his genitals and  
asked me to cure him myself."
guilt,"I had an argument with my boyfriend.  It was my fault but my  
pride would not let me admit it."
joy,"An invitation to spend 5 days at the seaside with all expenses  
paid."
fear,A film on zombies.
anger,"When males in my family try to assign house duties exclusively  
with referance to sex."
sadness,"I had a quarrell with my boyfriend and decided to finish with him  
and and my Easter holidays."
disgust,"When after a storm in the country, I left my shelter and saw a  
big, fat, slimy green toad by my side."
guilt,"When my brother had to spend all evening repairing a gear-lever  
that I had broken."
fear,"When I was walking down the street, some boys showed me a knife  
and stole all my money."
anger,"When they threw my holder down on the floor, with all my notes for  
an exam inside it and they got all mixed up."
sadness,When my mother was operated.
shame,"One day I got on the bus without any money or season ticket and  
the driver threw me out."
guilt,When a friend of mine was beaten for what was my fault.
joy,"My father had an operation which lasted for hours.  We were all  
very worried but it was successful."
fear,"I was walking along a subway when I saw a group of louts.  I was  
rather afraid because I was alone."
anger,"An old woman was violently thrown down the stairs of the tube by  
a group of louts."
sadness,"A child, 9 years old, died in a stupid way.  He fell from a place  
which was 1 metre high."
disgust,"On the road there was a dead animal with its entrails showing and  
its skull crushed."
shame,"We were discussing a subject ( I knew very little about it) and I  
was holding my ground.  They showed me that I was wrong."
guilt,"I could have passed the last exam of the public competition, but  
I failed as I had not studied."
joy,"I was studying in the library and a class-mate told me that she  
had obtained a grant to work in the library."
fear,"Before knowing my marks I was not sure that I wanted to go to  
that class."
disgust,"I was in the cafeteria at the university and a class-mate told me  
that a friend of hers had had all her teeth taken out because of  
an infection caused by her eating a rat's nail in her hamburger."
shame,"I had to meet a girlfriend to go out for a drink and she arrived  
with her aunt, to whom I was introduced.  Then the aunt left."
guilt,"One night, after having decided to finish our relationship, I  
took my girlfriend home.  While driving back home, I felt that I  
had not handled the whole thing very well."
anger,A typical family argument.
joy,When I pass an exam.
fear,Continous fear of a nuclear war.
sadness,When someone in my family died.
disgust,To loose friends because of them over-estimating themselves.
shame,When people next to me play the fool.
guilt,To force someone to do something that suits me.
joy,"I thought that I was going to fail a subject and so I began to  
study for the final exam, then my friend told me that I had  
passed it.  That meant that I could go home, as I do not study in  
my hometown."
fear,"I was in Sierra Nevada, climbing a peak over 3,000 metres high,  
without any light and with many other problems.  I was afraid for  
my life."
disgust,The man who threw me out of the flat disgusted me.
shame,"The first time that I caressed a girl, I was about thirteen and  
she was eighteen.  I noticed that it did not affect her at all."
guilt,"I was going around with a girl without loving her.  Not only did  
I go around with her, but we did many more things.  In the end I  
was not very sincere to her."
joy,"I met a girlfriend again after not seeing her for several months.  
 I saw her in a discotheque.  We do not like discotheques but we  
went there because we knew we would meet there."
fear,"I was walking in the countryside alone when I came across two  
dogs who began barking at me.  I did not know whether they were  
tied up or loose, but I was afraid of them approaching me."
sadness,"My mother was working with a knife and we were all laughing  
heartily.  She was not able to control the knife and stuck it  
deep into her hand."
disgust,"I read a book whose plot and expressions were obscene and in very  
bad taste."
guilt,"It was about midnight and I wanted to go to the countryside (I  
was in town) to watch the stars in the sky.  My mother did not  
like this, in spite of it I went out for a while.  My mother got  
angry."
joy,"A friend of mine suggested that I become a film extra.  The idea  
seemed very funny to me and my reaction seemed rather outlandish  
to the others."
fear,"One day I went to the cinema to see a film in which I was  
interested.  On arriving there I saw a long queue (which I had  
not expected) and went back home without seeing the film."
anger,"When I miss the train and I am late, and I have to wait half an  
hour for the next one."
disgust,"I saw in an ice-cream kiosque a cockroach walking through a  
cornet."
shame,"One day in class, the professor asked me a question concerning something  
he had been explaining.  He was very close to me (beside me) and I  
had no idea what to answer."
joy,"When they phoned me from Great-Britain to tell me that I could go  
there, if I wished, in Summer."
fear,When I was operated on the knee and had to go through rehabilitation.
anger,"In a very important basket-ball match where a lot was at stake, I  
played very badly."
sadness,"When a friend of mine told me that he was going to commit  
suicide."
joy,"When I passed my driving test, as it was the fifth time that I  
had taken this test."
anger,"I was given an exam which I thought did not measure at all my  
ability or my knowledge of the subject."
sadness,"When I saw the film ""Johnny got his gun"" which deals with the  
consequences of the Vietnam war."
disgust,"Some friends and I were having lunch.  Someone said something  
funny and one of the guys started laughing and spat his food in a girl's  
face."
shame,"I was alone in the bus when I tripped and fell, and dropped all  
my papers."
joy,When I passed the university entrance exam.
fear,"One night, while I was sleeping, I woke up suddenly with the  
sensation that there was someone in my room."
anger,When my brother was held up and robbed.
sadness,When they told me that my grandfather was rather ill.
disgust,When I see someone vomitting.
shame,When I fell head on in a fountain.
guilt,"I had to undergo an operation in Summer and so my family had to  
stay at home during the holidays.  I felt guilty, above all  
because of my brothers."
fear,"I had decided to propose to the man I liked to make a trip  
together.  One day, during breakfast I told him my idea.  I was  
afraid of his not accepting it and that the idea would end up as  
a failure."
sadness,"I was having breakfast with a classmate and suddenly I began to  
cry as I thought of a friend of mine whom I had not seen for a  
long time."
disgust,"During lunch with some classmates, a priest was also there.  He  
was eating desperately as if someone was going to take his plate  
away.  He did it with gluttony.  He wiped his hands on his suit  
several times and it was full of crumbs."
shame,"When a professor caught me absent-minded and not paying attention  
to what he was saying."
joy,"At a party, on New Year's Eve, I met on old friend whom I had not  
seen for some time"
fear,"Once I failed seven subjects at school and I was terrified to  
give my report card to my father.  I left it on the table and went to  
bed very early in order to avoid him seeing me."
sadness,"I have a very close friend who lives in another city and we have  
been writing to each other for a long time.  The last time I went  
to her city, just to see her, I was disappointed to see how great  
the distance between us was."
disgust,"They asked me to throw the rubbish into a dustbin which had some  
awful liquid accumulated at the bottom."
guilt,"I was driving a friend's car, and I got close to the pavement to  
ask my way and I struck a parked car."
joy,"Every time, in the last few days, when my girlfriend told me that  
she loves me."
fear,"I stayed alone in the dark at night in the mountain, waiting for  
my uncle.  I remember that I took a big stone and it calmed me."
anger,"We were at school, in the room for audiovisual classes.  We were  
watching a film, and just behind me two classmates were bothering  
me with their mocking and shoves.  I reacted angrily (I suppose)   
by hitting one of them."
sadness,"[ During a summer holiday a French girl and I had becoe back  
home, I felt very sad.]"
fear,When my mother had a nervous illness.
disgust,One day I went to see a rather disagreeable film (X).
shame,Once I had to visit a rather special person.
joy,When I knew the feelings of a beloved person.
fear,"A fall during a climb, with almost with no previous experience."
anger,"On the occasion of assignment of tasks and responsibilities in  
which such an assignment, dispropotionately carried with it high  
responsibility and low ability of organisation and resolution."
disgust,"When I had to sleep in a bed at a hostel, which was full of dirt."
shame,"While shopping, a person close to us created an uncomfortable  
situation for those who were with her."
guilt,"Incomprehension and repression towards a child's behaviour,  
commonly not accepted, and making the child cry."
fear,"In a dark street at 4 o'clock in the night and there was  
complete silence."
sadness,"When the train taking me to my military service left the station,  
on the platform remained relatives, projects and goodtimes.  I  
had a hard year ahead."
disgust,"A situation of overt unfairness, manipulation of people and its  
consequences."
joy,"I was talking to a friend and he said something which was very  
funny."
fear,"When I was young I saw a horror film.  Then when I went to sleep,  
the film came back too my mind and the characters frighteneed my  
imagination."
anger,"In a confrontation with a person, he provoked me several times  
till I reacted in an angry way.  Fortunately there were no  
disastrous consequences."
sadness,I was watching a sad film and it affected me deeply.
disgust,"When I was reading a book.  It had nothing to do with the book  
itself but with the disagreable smell of the pages of the book."
guilt,"In an exam I answered the questions rather carelessly and  
afterwards I thought that the exam would have been better had I  
answered more carefully."
anger,"When I had an argument with my best friend and I thought that I  
was right and she was not."
sadness,"When I realized that it was impossible for me to be as free as I  
had imagined and that I could not do anythong about it."
guilt,"When I do or say something inappropriate which hurts people close  
to me."
sadness,"We went to visit my mother at the residence.  She was crying and  
said that she was about to die.  I believed all her complaints  
and continously thought of the possibility of loosing her."
disgust,"My dog had been run over and died near the house.  We had to pick  
him up, cold and glassy eyed, to get rid of the corpse."
shame,"A professor was going to read aloud in class a composition of  
mine in which I had criticized some political attitudes and also  
some class-mates.   I was ashamed at having written that."
guilt,"In an exam when I answered the questions with very little  
assurance due to insufficiet preparation."
anger,"My father began to say incoherant things concerning my brother's and  
my own behaviour towards him.  His biased (authoritarian) and  
ridiculous point of view made us angry."
sadness,I had failed some subjects in mathematics.
shame,"This morning I spent a lot of time on my toilet and missed the  
train to the university.  My mother told me that I spent more  
time than a woman on my toilet.  I felt a mixed emotion of shame  
and anger."
guilt,"I was alone at home when I broke a figure and then mended it.  A  
few days later my mother noticed it and asked me about it, I told  
her that I had no idea."
joy,"When I fell crazily in love with a beautiful girl and she returned  
my love."
anger,"When I was the target of a great many insults and completely  
unfair accusations of a large group of people."
sadness,"When my best friend died, at the age of 16."
disgust,"When I entered a brothel and saw two sailors with a young  
prostitute who was not older than 18."
shame,"When I was in a religious school my teacher showed me up in front  
of all my class-mates.  They were very sarcastic and cruel."
joy,"When I came across an old friend whom I had not seen for a very  
long time."
anger,When I was accused of something I had not done.
sadness,A close friend died.
disgust,I saw some images of a decapitation in a horror film.
guilt,I made another person cry for an unjustified cause.
joy,"I received an unexpected letter from a friend I had met a short  
time before.  He sent me a poem and wished me good luck.  I felt  
very happy because I had great esteem for that person."
fear,"I was walking with another person when a ""gang"" separted us and  
pushed me in to a house, hit me in the stomach and the face, then  
they left - leaving me bleeding."
anger,"A certain person started to say dreadful things very calmly, I  
felt hurt and disgusted."
sadness,"A certain person whom I respect and esteem a lot pays me no  
attention.  She keeps up appearances but shows almost no interest  
in me."
disgust,"In a bus I fell sick and vomitted in a bag.  The entire situation  
was disgusting in itself."
shame,"A person (a male) told me that he liked me.  He has a problem, he  
is a homosexual."
joy,"When I received some good news : I obtained an amount of money I  
needed to buy something I had been planning to buy."
anger,"My parents were having a typical family argument.  I came in and  
saw the scene and became angry."
disgust,"I visited a place in Morocco where they worked the leather.  I  
saw the skins emerged in a liquid which ressembled putrification."
guilt,"I was in a cafe with another person when, suddenly, several close  
friends of my partner appeared.  I did not know what to do and my  
partner felt uncomfortable."
joy,When I talk to my friends.
anger,When people harrass me I feel oppressed by their behavior.
sadness,When I am with a friend and we have to leave each other.
guilt,"[ When I act thinking that I know everything and I then realize  
that there were things I had not thought about, thus hurting  
others.]"
joy,"[ Any situation in everyday life has this emotional sense, in  
class, in the street, at home, at the table..........]"
fear,"On a dark night I felt that there were several people near me  
and I did not know who they were."
anger,"When I learned that several people had died in the street due to   
the cold weather."
sadness,"When I saw in the newspapers, on the T.V, and magazines the  
chaotic situation caused by the drought and hunger in  
Mauritania."
disgust,The physical appearance of a meal.
guilt,"In a situation with my girlfriend I took a decision.  Later when  
I thought about it, I realized that it was an erroneous decision."
fear,"During a demonstration I climbed up the closed central door of a  
bus.  When the bus stopped I had to go back to the same place,  
afraid that the police would see me.   "
anger,"When I saw parents punishing their little child for something he  
had not done.  In my opinion, even if he had done it he should  
not have been punished for it."
sadness,"A friend of mine was hurt as he thought that our relationship was  
not the same as before and something had gone wrong."
disgust,"When I was young, one day in the car we fell sick and ended up  
vomitting on each other."
joy,"When they told me that I had been admitted to the faculty of  
medicine."
fear,Almost always when I go to fetch the results of an exam.
anger,[ No description.]
disgust,"I saw a program on T.V where they had to saw a skull for an         
operation."
shame,"I was watching T.V with my parents and some pornographic scenes  
came on, I felt uncomfortable and tried to distract my parents  
attention by talking to them."
guilt,"When I used an adjective for a person without knowing what it  
meant.   When I got to know the meaning, I felt guilty as it was  
a clear and unfair insult."
joy,When I obtained good marks in a subject I had failed before.
fear,When a friend of mine told me a horror story.
anger,"I was with my family and we found some abandoned puppies.  I  
wanted to help them but everyone said no.  We then left."
sadness,At my grandfather's death.
disgust,Seeing a film in which there were several bloody crimes.
shame,"At a concert an old man arrived and began to danse, sing and do  
silly things."
guilt,"I had an argument with a friend of mine.  She would not let me  
speak and then I began to shout at her.  She got angry and left,  
I did not try to prevent her from leaving."
joy,"When I was told that they had got tickets for me for a film  
marathon I wanted to see."
fear,"We were on the road in a car when a lorry bypassed us.  We had to  
swerve and we almost got run over."
shame,"I was in a very small class and the professor said something  
about me that made everyone look at me at the same time."
guilt,"I had arranged to meet my friends at a certain place, and I was  
with other people.  My friends did not arrive and the people who  
were with me began to get tired.  My friends were one hour late."
fear,"I thought that I would be scolded for a comment I had made, which  
I should not have made."
anger,"My sister came back home and reproached me for not having tidied  
up the house, although I had been working all morning and she had  
done nothing."
sadness,"At my grandfather's funeral.  I remembered that the thing he  
liked and respected most was earth, I thought that he had  
attained what he wanted and was not separated from it any longer."
disgust,"I had to wash my grandmother because she did not get to the  
bathroom on time."
shame,"In a very crowded shop I was distracted and missed my turn in the  
queue.  A woman who was behind me began to shout at me asking me  
either to pay more attention or to leave."
fear,"I was in my village when a bull jumped over a fence and started  
chasing my friends and me.  We were very frightened till we  
climbed up a tree."
sadness,"I failed a subject despite the fact that I had studied quite a  
lot for it."
shame,"I liked a boy and I would feel shy and then blush.  The more I  
wanted to avoid it the more I blushed."
guilt,"I am not very affectionate and I feel guilty as I do not give as  
much affection as I receive."
joy,"I was spending the week-end with some friends.  We were waiting  
for another friend and we went to the meet him at the bus stop, a   
woman we met there told us that the coach had already left.  I  
was afraid that I would not see my friend, but at last we found  
him."
fear,"I was walking down a little village at night.  There was nobody  
in the steet.  A dog began to bark, I felt that it was following  
me.  Then I began to run, the other dogs started barking too.  At  
last I arrived home."
sadness,I was told that a friend of mine was going to Mexico for good.
disgust,Finding a hair in the soup.
shame,"I was at the University dining room, alone, and at a table next  
to mine thre were several professors.  One of them asked me to  
join them.  I refused but she insisted.  All the others started  
looking at me and I had to move to their table."
joy,"I was on holidays, and I was going to meet a friend whom I had  
not seen for six months.  Again I felt very happy."
anger,"I sent a book to a friend of mine.  The book meant a lot to me  
and he lost it."
disgust,"Ever since I have been a child, the sight of any kind of wound."
shame,"At the seaside, when a wave suddenly came and took off my bikini."
guilt,"One night, I went out with some friends for dinner and I did not  
tell my parents that I would come back late.  I thought of  
phoning but in the end I did not.  When I arrived home, my  
parents were very worried."
joy,"My sister in law was about to have a child, and there were some  
problems.  They had to do a Caesarean.  After a while, everything   
was all right."
fear,Waiting for my marks in a difficult subject.
anger,"I gave some personal information to a friend of mine, and he told  
it to some others who were implicated in the affair."
shame,"At a meeting with over one hundred people, they decided who had to speak  
from the stand by drawing lots."
guilt,"I had a small argument with a relative and some other people got  
implicated.  It resulted in a proper row."
joy,"Last course, when I passed with good marks three subjects which I had  
previously failed."
disgust,"I was drinking coffee in a cafe and I found a piece of scrubber  
in my cup."
guilt,"At school, I did not tell the teacher that it was me who  
had laughed, and she punished the entire class by making them  
stay behind for one hour."
joy,"One evening, I was with a group of friends having a talk.  There  
was a very trustful and joyful atmosphere."
fear,"We were walking in the park at night.  It was very dark and very  
late.  We began to hear foot steps all around us, and we could  
not find our way out."
anger,"[ One day I arrived home rather tired and found the house..... In  
addition I was asked many questions which I did not want to  
answer.]"
sadness,"I was selected to do a rest for a foreign ballet but I did not  
have the money to do it."
disgust,"In a film there was a scene in which a rat was sliding on a bed,  
leaving a trace of blood behind, finally it entered the mouth of  
one of the actors."
shame,"I was swimming in the river and I lost the top of my bikini.  I  
did not notice it and came out of water.  There was a  
disagreeable classmate watching the scene."
guilt,"At a party, several comments were made about the personal  
situation of one of the people present.  She was rather affected  
and uncomfortable."
joy,"It was Saturday, my duties were over for a few hours and I could  
at last be with the people I wanted to see."
fear,"One night, I was alone at home.  My fear was caused by some  
strange noises which put my imagination to work."
anger,"When I got to know about the reaction of a friend of mine in a  
certain situation.  I had not expected him to react that way."
disgust,I saw a sort of black worm being attacked by many ants.
shame,When I met a friend of mine after several months.  
joy,"I was going to my village, after having been rather oppressed in  
Madrid. "
anger,"My mother read a letter that a friend of mine had written to me  
telling me how she had got drunk the last time."
disgust,"I found a cockroach crushed between two folders in my bedroom, I  
called my mother."
shame,"I ride my motorbike in my village and everyone stares at me as if  
I was a rare specimen."
guilt,"I was spending a few days at my aunt's place.  One night I got  
home very late, I had told them I was going to a party but I went  
to another place.  They were very worried."
joy,"Last Summer I achieved someting that I had been wanting for a  
long time."
anger,"My parents scolded me a lot for something I had not done.  It was  
my sister who had done it."
guilt,"Due to a misunderstanding on my part, two of my best friends  
quarelled."
joy,"When my brother was born, everything went all right.  It had been  
very likely that he would have a deficiency (my sister suffers  
from Down's Syndrome) and that my mother would be in danger."
anger,"When an English teacher unfairly made me repeat a semester which  
I thought I had passed.  I had to ask my parents for some more  
money to carry on studying."
disgust,"In a park near our home, a group of young people who were  
strangely dressed were seated in the middle of the street.  They  
began to eat while carressing each other."
shame,"I feel this emotion very often when I try to express my feelings  
in public, because other people do not understand my reactions  
and think that I am silly. "
guilt,"A friend of mine said in a group that she felt lonely and  
withdrawn from everyone because of mental deficiency."
joy,"When I passed the university entrance exam.  I had thus finished  
with a difficult period of my life and I was about to begin one  
which I had desired a lot."
fear,"When I was at home alone, I felt a super-natural force, dangerous  
for me and the people close to me."
disgust,"When I came to know that my father and his parents were : self  
interested, dirty, negative, egoist, bad peolpe,......"
shame,"I think that the only time I really felt shame was when I was  
very young and I had to defecate on the street.  I was very  
worried in case someone should see me."
joy,"On my birthday, when I was given my presents."
fear,"We were riding in a friend's car.  He was driving very fast and  
suddenly a another car crossed the road in front of us.  My  
friend had to turn the car rapidly."
sadness,"When I went to see the result of an exam and saw that I had  
failed."
shame,"The mother of a friend of mine passed by me and saw me sitting  
on a boy's lap.  I tried to greet her but could not help  
blushing."
guilt,"A friend of mine had the sleeves of a leather coat stolen from  
his car.  It was me who had left them there for everyone to see."
joy,"The final marks were to be given in the morning.  I wanted to get  
there late because I was very afraid.  When I arrived there,  
everybody was very happy and I had also passed.  We had a  
wonderful time all day long."
fear,"I went to visit a friend in hospital.  He was going to be  
operated the next day.  I was afraid that they would not let me  
in and I did not know what his reaction would be on seeing me."
anger,"A friend of mine played a joke on another friend over the  
telephone.  This friend, crying, called me and I got very angry  
and made the other person apologize."
sadness,"A friend of mine told me that my boyfriend had been with another  
girl this Summer.  We had been going out together for four years  
and we had not done so for the last three months.  I could not  
believe it."
disgust," I was at a friend's place for lunch and she fell ill and  
vomited."
shame,"I was dancing in a theatre.  I was not sure whether some frieends  
of mine had come to see me.  I was very scared of doing things  
wrong."
guilt,"Classes were over and I wanted to go home.  A friend of mine  
asked me to wait for half an hour to take him back home.  I said  
no.  "
joy,"On holiday, seeing the lanscape in Gerona."
fear,Travelling by coach on a rather narrow and wet road.
anger,"They wanted me to pay for a ticket twice because they said that  
the one I had was out of date."
disgust,When I saw an insect going up my arm.
shame,When I entered a bar looking for a friend.
guilt,"Arguing with my younger cousin.  She is rather a nuisance but I  
felt sorry."
fear,"Once, when I was very young, my mother left me alone in the  
house and came back very late."
anger,"When my aunt told me angrily that I was a good-for-nothing and  
she was fed up with my behaviour."
disgust,When a person I did not know hurt a friend of mine.
shame,"When the literature teacher made me recite a poem in the middle  
of the class and I had to gesticulate."
guilt,"Once, when I arrived home very late, my parents had an argument  
because of this; my mother wanted to stand up for me."
fear,"I was spending my summer holidays in a village.  My friend and I  
were coming back from a discotheque at night and we heard a noise  
from an alley.  We were very scared and we got into my friend's house.  
 A moment later, an unknown car picked up a person from this  
alley."
anger,"My mother and I had an argument over buying some clothes for me.   
She did not accept the fact that I did not like the same things  
as her, and we ended up shouting at each other."
sadness,"One day, I was home and there was a phone call informing me that  
some of my relatives had died in an accident."
disgust,"When I saw a film in which there was a scene where women were cut  
to pieces.  Above all, it was the blood and the confusion which  
impressed me most."
shame,"I was walking to school and I passed by a red cross post where  
there were many soldiers.  They began to pass remarks at me."
guilt,"A friend of mine trusted me to back her in a decision she had  
made.  But when the moment came I did not agree with her opinion."
sadness,When my grandfather died.
shame,"When I was young I was told to to the shop to buy a dozen eggs.   
I went and asked for one egg and the people in the shop laughed  
at me and so did my family when I told them what had happened."
guilt,"When I arrived home late at night.  I know that my mother gets  
worried and this made me feel angry."
fear,"When I was told that my daughter, who is at a boarding school,  
was very ill and that they needed me there the same day."
anger,"One day in a clinic, the father of a child came in and assaulted  
a colleague for something that she had not done deliberately."
sadness,When I was told that my uncle had passed away.
disgust,"The transport to pick us up for lunch was always late and the  
driver made the same excuse every day."
guilt,When I did not give back a text book to a friend in time.
joy,"When a cousin of mine was discharged from the hospital after        
a long illness.  I had thought that this illness would never end."
fear,"When a man who had a knife grabbed me and threatened me with it,    
during my holidays in Monze. 
"
anger,"A certain friend tried to push me off a seat in a very violent  
way for no apparent reason.  It may be that he was excited about  
something."
sadness,"When the neighbour of a friend of mine was stabbed to death by  
thieves in Kabwe.  They stole his van."
disgust,"When we were young, a friend of mine tried to dissect a frog while   
we were playing near his home."
shame,"The time I shouted at most of my friends at a party.  It was as if  
 all my friends had done something wrong, or may be it was the  
influence of the beer."
guilt,"When I blamed my niece for misplacing my book, she denied having  
touched or seen it but I carried on insisting that it was her."
fear,"When I was about six years old, I mistook a cat for a leopard       
when it entered my room at night."
anger,"When a person the same age as me insisted that I call him  
""Mister"".  I refused to succumb, but he persisted and I got angry  
as he had belittled me."
sadness,"When I lost my father on the 25th of September,1970.  He died of  
a sore on the leg."
disgust,"When I failed the grade 7 twice and only passed it the third  
time."
shame,"I was going around with a foreigner's wife and my entire family  
got to know about it, this was just when I had become a  
Christian."
joy,When I first passed a job interview.
fear,"I was almost caught in the girls hostel by the security men, I  
would have been expelled from school had I been caught."
anger,"When I was accused of having refused to do some hostel work while  
I was at school.  Actually I had not been allocated any work."
sadness,"A friend of mine could not make it back to Unza after having  
failed the exams."
disgust,"I usually come back home early but this day I came home back late  
to find some visitors at my place."
shame,"I got pass marks in the H.S.S compulsory courses while most  
people performed well."
guilt,"I destroyed my step-brother's bedsheets by mistake, they were the  
only ones he had."
joy,When I heard that I had made it to the second year at UNZA.
fear,"When my father's home was to be broken into by thieves who had  
guns."
anger,"When a friend tried to back bite me on false grounds.  This made  
me wonder if he was a really a good friend."
sadness,When my girlfriend's nephew passed away.
disgust,"When someone whom I trusted, disappointed me terribly."
joy,"When I hooked a girl in Kitwe.  She was very beautiful for my  
standards, a rare bird of this kind accepted me as a boyfriend."
sadness,"1976, Soweto uprising in South Africa and the racist Gout's  
reaction to the students demands concerning the educational  
system."
shame,"When I was found urinating, behind a toilet instead of inside it,  
by my class mates and the teachers.  I was told to pick up my own  
urine from the wet soil, I did it."
guilt,"When my uncle found me having sexual intercourse with a distant  
relative of mine in the sitting room, on the couch.  I failed to  
stop and get up, I carried on."
joy,"When I was accepted for further education, here at the  
university."
anger,"When I was accused by my brother of having stolen a 5 kwatcha  
note from my mother's bag.  I was beaten up for this, the money  
was found later."
disgust,"When I was refused a transfer from my school to another, simply  
because it was far away from my house."
shame,"When I was taking an exam in grade 5.  The examinator found me  
with a note-book and accused me of copying, All the students  
laughed at me."
guilt,When I was caught stealing mangoes in a certain compound.
sadness,When I received a letter telling me that my mother was very ill.
disgust,"When a drunkard, in town yelled at me saying that I was a  
prostitute."
guilt,"When I went to my room-mate's drawer to see if she had an iron   
which I could use, she came in.  I felt guilty as she may have  
thought that I had been stealing."
joy,When I had my four children.
fear,When two of my children were critically ill with measles.
anger,When I got a low grade in an administration course.
sadness,When I got divorced from my husband after ten years of marriage.
fear,"When I woke up at night to find a fire spreading towards the bed  
-rooms.  I was very frightened as I realized that I faced death."
sadness,"I experienced this emotion when my friend committed suicide after  
we had spent the afternoon playing and discussing life and it's  
problems."
disgust,"When I heard of the assassination of the Indian prime-minister,  
Indira Gandhi."
shame,"When I got drunk at a party and made a fool of myself by  
vomitting all over the place and insulting the people who were  
there with me."
guilt,"When I was caught sneaking back into the house at night after  
having  gone to a disco without permission."
fear,When a thief broke into my house at night.
anger,When my sister broke my china tea set.
sadness,I felt very sad when my son died after a short illness.
disgust,I met my best friend's husband with a prostitute.
shame,When I failed to answer a simple question.
guilt,"My brother wanted money but I refused to give it to him, two days  
later he stole it from my father."
fear,When I was nearly beaten up by the brother of my girlfriend.
anger,"When I heard that my girlfriend was talking behind my back and  
looking down on me."
sadness,"When a friend, who has been with me at school, failed to make it  
to UNZA."
fear,"When I was told by the doctor, after many months of coughing,  
that I had tuberculosis."
anger,"When a cousin of mine took my bottle of T.B tablets, put water in  
it and threw it in the dust-bin."
shame,"When five of my friends at the secondary school found out the bad  
things that I had been saying about them."
guilt,"When my mother returned from a holiday, I told her a lie i.e my  
father had brought another woman home while she was away."
fear,"One evening I saw the old guard-man I knew, change into something  
inhuman for about 5-10 seconds, this really frightened me."
anger,"When I was mistakenly accused of being a thief when I accidently  
gave a fake coin at a counter.  I realized this before I handed  
over the coin, but the man called me a thief and called a  
witness."
sadness,"The day I woke up to find that a kitten I had wanted to keep had  
been eaten by the neighbour's dogs.  It had been locked out by my  
wife who claimed that it had dirtied the sheets."
shame,"My mother caught me stealing some food when I was a young  
boy."
joy,"I felt joy when I came to know Christ.  That is when I became a  
Christian."
fear,When I broke the window pane of my next door neighbour's house.
disgust,When my father thought that I was an unrelaible son.
joy,"When my uncle gave me my first year's results.  I opened the  
envelope and my eyes ran into two ""B+"" - in EC110 and M160, this  
meant that I had qualified for a major in economics."
fear,"I turned the knob of my granny's two band radio and did not hear  
any broadcast,  "" What ! Have I broken the knob ? How much does  
it cost ? What if the spare part is not available ? ""  --I did  
not know how to tune a radio."
anger,"I peeped into Maurine's bedroom and saw two people - Maurine anbd  
my step-dad.  I thought, "" Why did she break her promises ? Why  
had she invited me ? Why do old men go for young girls ? """
disgust,"I stormed into the room, hoping to cool myself with some soft  
music from my three band radio cassette.  There was only young  
Kaley there and he explained, "" Your aunt has sold it as she  
wanted to buy clothes."""
guilt,"My cousin knocked on the door, looking for me to get her watch  
back.  I had given it to my girlfriend, Lizzy, as a present."
joy,"This was when the girl I was in love with accepted my proposal  
and everything went smoothly, just as I had wanted it to.  It was  
contrary to my previous feelings of uncertainty about her  
response."
fear,"It was when I dreamt that I had encountered Satan, he wanted to grab me  
and take me to his kingdom.  He was very repulsive and I have  
never seen anything like that before."
anger,"This was when I found out that a cousin of mine had taken away my  
trousers without my consent."
sadness,"When I failed a test at my primary school.  I was then in grade 7  
and we were about to take the main exam."
disgust,"This was when I saw, for the first time, a naked woman  
(prostitute) run away from a house after having been discovered  
by the guardian."
guilt,"When I was afraid to tell my sports teacher at secondary school  
that I had not participated in the sports activities the previous  
day."
joy,"I was in grade 7.  We had an inter-house volley-ball competition.  
 In Luapula I was the youngest member of the team and I scored   
the winning goal using my head.  I jumped up with joy and fell  
down."
fear,"I was escorting a relative on a bike, we passed by a dark road  
with bushas on each side.  Half way down this road, suddenly, we    
saw a white dog appear from one side.  Before we could do  
anything, it had vanished and moreover it did not seem to have  
any legs."
anger,"The comrade staying next doors insulted me for what he called   
the misuse of his iron.  He called me stupid, self centered etc.   
I wanted to punch him but instead went for a walk to the mining  
school to cool off."
